Epoch [0/150], Train Loss: 10.7654, Valid Loss: 10.7286, Perplexity: 47352.2828
Epoch [1/150], Train Loss: 10.5360, Valid Loss: 10.4918, Perplexity: 37645.0490
Epoch [2/150], Train Loss: 10.4991, Valid Loss: 10.4744, Perplexity: 36284.1507
Epoch [3/150], Train Loss: 10.4827, Valid Loss: 10.4662, Perplexity: 35691.3031
Epoch [4/150], Train Loss: 10.4694, Valid Loss: 10.4561, Perplexity: 35221.5912
Epoch [5/150], Train Loss: 10.4598, Valid Loss: 10.4497, Perplexity: 34883.5914
Epoch [6/150], Train Loss: 10.4507, Valid Loss: 10.4468, Perplexity: 34568.5696
Epoch [7/150], Train Loss: 10.4433, Valid Loss: 10.4390, Perplexity: 34312.2170
Epoch [8/150], Train Loss: 10.4354, Valid Loss: 10.4380, Perplexity: 34042.8400
Epoch [9/150], Train Loss: 10.4297, Valid Loss: 10.4350, Perplexity: 33851.3563
Epoch [10/150], Train Loss: 10.4167, Valid Loss: 10.4197, Perplexity: 33412.4869
Epoch [11/150], Train Loss: 10.4062, Valid Loss: 10.4184, Perplexity: 33062.5732
Epoch [12/150], Train Loss: 10.4010, Valid Loss: 10.4160, Perplexity: 32894.0646
Epoch [13/150], Train Loss: 10.3958, Valid Loss: 10.4158, Perplexity: 32720.5492
Epoch [14/150], Train Loss: 10.3916, Valid Loss: 10.4157, Perplexity: 32585.8476
Epoch [15/150], Train Loss: 10.3880, Valid Loss: 10.4158, Perplexity: 32469.1609
Epoch [16/150], Train Loss: 10.3845, Valid Loss: 10.4154, Perplexity: 32352.9668
Epoch [17/150], Train Loss: 10.3804, Valid Loss: 10.4145, Perplexity: 32222.7404
Epoch [18/150], Train Loss: 10.3759, Valid Loss: 10.4144, Perplexity: 32077.6188
Epoch [19/150], Train Loss: 10.3720, Valid Loss: 10.4133, Perplexity: 31950.9292
Epoch [20/150], Train Loss: 10.3685, Valid Loss: 10.4129, Perplexity: 31840.9801
Epoch [21/150], Train Loss: 10.3647, Valid Loss: 10.4130, Perplexity: 31719.9531
Epoch [22/150], Train Loss: 10.3616, Valid Loss: 10.4120, Perplexity: 31620.8277
Epoch [23/150], Train Loss: 10.3586, Valid Loss: 10.4115, Perplexity: 31527.0406
Epoch [24/150], Train Loss: 10.3553, Valid Loss: 10.4119, Perplexity: 31424.4521
Epoch [25/150], Train Loss: 10.3522, Valid Loss: 10.4109, Perplexity: 31325.5742
Epoch [26/150], Train Loss: 10.3496, Valid Loss: 10.4112, Perplexity: 31244.5309
Epoch [27/150], Train Loss: 10.3467, Valid Loss: 10.4110, Perplexity: 31154.0388
Epoch [28/150], Train Loss: 10.3444, Valid Loss: 10.4116, Perplexity: 31083.1536
Epoch [29/150], Train Loss: 10.3421, Valid Loss: 10.4108, Perplexity: 31010.2482
Epoch [30/150], Train Loss: 10.3397, Valid Loss: 10.4117, Perplexity: 30937.3341
Epoch [31/150], Train Loss: 10.3379, Valid Loss: 10.4104, Perplexity: 30880.5874
Epoch [32/150], Train Loss: 10.3356, Valid Loss: 10.4113, Perplexity: 30810.7995
Epoch [33/150], Train Loss: 10.3338, Valid Loss: 10.4107, Perplexity: 30754.6848
Epoch [34/150], Train Loss: 10.3319, Valid Loss: 10.4118, Perplexity: 30695.8483
Epoch [35/150], Train Loss: 10.3304, Valid Loss: 10.4112, Perplexity: 30649.7120
Epoch [36/150], Train Loss: 10.3286, Valid Loss: 10.4104, Perplexity: 30595.9684
Epoch [37/150], Train Loss: 10.3272, Valid Loss: 10.4109, Perplexity: 30551.1798
Epoch [38/150], Train Loss: 10.3259, Valid Loss: 10.4104, Perplexity: 30512.7178
Epoch [39/150], Train Loss: 10.3243, Valid Loss: 10.4107, Perplexity: 30465.3844
Epoch [40/150], Train Loss: 10.3228, Valid Loss: 10.4110, Perplexity: 30418.7227
Epoch [41/150], Train Loss: 10.3218, Valid Loss: 10.4111, Perplexity: 30388.6458
Epoch [42/150], Train Loss: 10.3205, Valid Loss: 10.4108, Perplexity: 30349.3649
Epoch [43/150], Train Loss: 10.3195, Valid Loss: 10.4105, Perplexity: 30318.9034
Epoch [44/150], Train Loss: 10.3187, Valid Loss: 10.4105, Perplexity: 30293.4605
Epoch [45/150], Train Loss: 10.3177, Valid Loss: 10.4103, Perplexity: 30262.9654
Epoch [46/150], Train Loss: 10.3169, Valid Loss: 10.4103, Perplexity: 30239.9683
Epoch [47/150], Train Loss: 10.3163, Valid Loss: 10.4101, Perplexity: 30220.1347
Epoch [48/150], Train Loss: 10.3157, Valid Loss: 10.4102, Perplexity: 30203.2383
Epoch [49/150], Train Loss: 10.3155, Valid Loss: 10.4104, Perplexity: 30196.1382
